method,rate,scene,n_images,musiq_mean,maniqa_mean,clipiqa_mean,niqe_mean,fid
HAC_ori,mid,counter,30,55.035012308756514,0.27096272905667623,0.3773436665534973,4.666105902315357,50.909557188006715
HAC_ori,mid,flowers,22,64.35990888422185,0.2789964384653352,0.531136229634285,3.3987788020692618,62.396322942983915
HAC_ori,mid,garden,24,71.86378065745036,0.3725316971540451,0.5263079156478246,2.7952768384639497,14.78512178503837
HAC_ori,mid,kitchen,35,64.96816177368164,0.32510849833488464,0.4139882130282266,4.511533325079424,13.275723755328045
HAC_ori,mid,room,39,49.105103712815506,0.28421600239399153,0.3570290750417954,5.492745369257406,26.575897323871686
HAC_ori,mid,stump,16,57.47220325469971,0.277245263569057,0.41764566488564014,3.8703776852256158,69.28226042562349
HAC_ori,mid,treehill,18,53.46613057454427,0.2752927558289634,0.4150100648403168,3.751899451936074,32.18638935167215
HACplus+CR,high,bicycle,25,71.55234985351562,0.34222718358039855,0.42908896803855895,2.37715411230666,9.280151377985504
HACplus+CR,high,bonsai,37,61.05324647233293,0.24203105190315763,0.32431895910082637,4.557540690526245,15.392113221158752
HACplus+CR,high,counter,30,60.897470219930014,0.26395213852326077,0.4249823570251465,3.602115782217185,26.355564790736935
HACplus+CR,high,flowers,22,73.62909039584073,0.3430860137397593,0.5881131318482485,2.250054595341895,23.115200301311177
HACplus+CR,high,garden,24,73.17001120249431,0.3956417106091976,0.6218195830782255,1.991691363026608,9.989216366542763
HACplus+CR,high,kitchen,35,67.63237707955497,0.319182653938021,0.3524580112525395,3.903158679034095,9.179325455672767
HACplus+CR,high,room,39,52.30440579927885,0.25832998485137254,0.34296491474677354,4.5560365276156585,10.360045608847201
HACplus+CR,high,stump,16,60.461376428604126,0.27476199716329575,0.3955512698739767,3.8078905849738676,38.841392866919534
HACplus+CR,high,treehill,18,60.82219526502821,0.2836400700940026,0.4288094292084376,2.598997270249682,15.13045476838792
HACplus+CR,low,bicycle,25,70.18780487060548,0.3301165747642517,0.4775264656543732,2.510074584127131,10.464222877306383
HACplus+CR,low,bonsai,37,60.22360136702254,0.23509567694084063,0.33630914301485626,4.989508187263091,21.74887262469153
HACplus+CR,low,counter,30,57.877729924519855,0.24483189682165782,0.38812298079331714,3.8669089504644445,36.34307014751553
HACplus+CR,low,flowers,22,72.8577554876154,0.3267340131781318,0.604792448607358,2.403500414767457,28.646092223561197
HACplus+CR,low,garden,24,72.34583950042725,0.3641243490080039,0.5866866732637087,2.2046418195831907,14.371212381946748
HACplus+CR,low,kitchen,35,66.86019526890345,0.3114134192466736,0.3890827706881932,3.820195457408543,15.369256654423566
HACplus+CR,low,room,39,50.21186584081405,0.25659773479669523,0.31832506908820224,4.829713335701518,18.235765109035867
HACplus+CR,low,stump,16,59.73146963119507,0.26431525591760874,0.4284197650849819,3.7112104845749565,45.697670349622086
HACplus+CR,low,treehill,18,57.008376863267685,0.2842879179451201,0.48226360314422184,2.8027186687593986,23.045760613815304
HACplus+CR,mid,bicycle,25,71.62577392578125,0.33942874789237976,0.45243786454200746,2.319827279388797,9.513614795685726
HACplus+CR,mid,bonsai,37,60.98774729548274,0.23943915318798376,0.32532776167263855,4.458192373189187,16.30601723931082
HACplus+CR,mid,counter,30,58.401010513305664,0.2397150491674741,0.3912645936012268,3.734702852701327,35.73789431830744
HACplus+CR,mid,flowers,22,73.58594408902255,0.3349231318994002,0.5926119034940546,2.3653648964580998,24.15554253712598
HACplus+CR,mid,garden,24,73.05303923288982,0.3871922592322032,0.5712134130299091,2.3191680634923304,10.482355650865031
HACplus+CR,mid,kitchen,35,67.4033315386091,0.31732368894985746,0.4305810672896249,3.8925258365781548,10.348690149512038
HACplus+CR,mid,room,39,51.40769557463817,0.25251106650401384,0.33113471666971844,4.778037115308343,12.574776818774467
HACplus+CR,mid,stump,16,60.48877835273743,0.2726165549829602,0.3778729420155287,3.634391732630685,38.854483239161766
HACplus+CR,mid,treehill,18,60.14785597059462,0.2844291776418686,0.4443589631054137,2.7080534034621775,16.723145379153266
Orig,high,bicycle,25,68.09349624633789,0.3403696525096893,0.4515531599521637,2.946246313945437,14.209908260084688
Orig,high,bonsai,37,59.65737399539432,0.2738649680002316,0.39333097918613535,4.944287221646919,27.60824790346132
Orig,high,counter,30,56.43265342712402,0.2786171868443489,0.39181962807973225,4.5216365897290265,47.37918570272768
Orig,high,flowers,22,66.42713789506392,0.2937279126860879,0.5413061366839842,3.0945134913266448,57.59407205375672
Orig,high,garden,24,72.49941698710124,0.37942884117364883,0.5467365495860577,2.559953802771527,12.680143646684513
Orig,high,kitchen,35,66.46522652762276,0.33518928119114466,0.42802893349102566,4.428296403228337,11.527160867142328
Orig,high,room,39,50.80443005684094,0.29089280045949495,0.3718096354068854,5.162147693917526,24.730611990445993
Orig,high,stump,16,58.22153949737549,0.28047200478613377,0.42125830985605717,3.685284843530915,72.39438686321631
Orig,high,treehill,18,55.33966276380751,0.28162941833337146,0.42979680332872605,3.341501548953235,27.518291037636118
Orig,low,bicycle,25,68.25013626098632,0.34549004793167115,0.40443620324134827,3.8703323404910988,30.994878792500344
Orig,low,bonsai,37,53.25412657454207,0.2540287270739272,0.38990319177911087,5.518358118756094,53.247378395199746
Orig,low,counter,30,49.9748597462972,0.2543257176876068,0.33924467166264854,5.62205657502635,83.69273710945299
Orig,low,flowers,22,61.8490930037065,0.26453920250589197,0.47071163627234375,4.060693225351642,81.34227587595393
Orig,low,garden,24,70.32558218638103,0.37003565082947415,0.4838973681131999,3.3482004435316024,26.298122318076196
Orig,low,kitchen,35,60.84895030430385,0.30367724214281355,0.3807774552277156,4.684812647027297,29.513416862555857
Orig,low,room,39,44.23596993470803,0.27699424975957626,0.3372517847097837,6.7910433096919105,74.83699591730254
Orig,low,stump,16,54.10311317443848,0.2679751254618168,0.3279998581856489,4.411359141423463,179.63012868229123
Orig,low,treehill,18,51.94624370998807,0.2717418645819028,0.3475697355137931,5.054535577361415,64.72025714932133
Orig,mid,bicycle,25,68.95527130126953,0.35095802307128904,0.43614659667015077,3.285185320422517,18.463169325360013
Orig,mid,bonsai,37,57.15354754473712,0.26429211368431915,0.3953356887843158,5.222914655393188,39.04806760862655
Orig,mid,counter,30,53.55637715657552,0.2682467261950175,0.37372909585634867,4.982824858944952,64.49530073672219
Orig,mid,flowers,22,65.4105167388916,0.28765397654338315,0.5157927545634183,3.518781559152403,68.99829352040578
Orig,mid,garden,24,71.55241839090984,0.37176672120889026,0.5112039136389891,2.8858272079532488,19.518826032382748
Orig,mid,kitchen,35,64.21553595406668,0.3227663789476667,0.4034859938280923,4.491363986776203,18.579961137753457
Orig,mid,room,39,47.80893682822203,0.28728328530605024,0.35615176803026444,6.105713195348383,38.23563123077281
Orig,mid,stump,16,57.12741732597351,0.27877502609044313,0.38884015567600727,3.9855651871852125,118.27878791342675
Orig,mid,treehill,18,53.90549892849393,0.2742443374461598,0.3931560566027959,4.10524471815537,41.46512733602381
